Object,Affordance,Question0,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14
Kettle,pour,"if you were to pour from this kettle, which points of this kettle would you use for pouring ?",in which areas on this kettle should a person pour to do it comfortably and safely ?,ideal pouring spot on kettle ?,"considering the structure of this kettle, what area would be most stable for pouring ?",which part of this kettle allows for the most efficient pouring ?,where to pour from this kettle ?,what is the best way to pour from this kettle ?,where on this kettle can you pour ?,is there another way to pour from this kettle ?,which points on this kettle are meant for pouring ?,which pouring point on this kettle do you prefer ?,how would you pour from this kettle to keep it steady ?,what part of this kettle makes pouring possible ?,identify the key points on this kettle that support pouring.,describe where you would pour from this kettle and why that spot works.
Keyboard,press,"if you were to press this keyboard, which points of this keyboard would you use for pressing ?",in which areas on this keyboard should a person press to do it comfortably and safely ?,ideal pressing spot on keyboard ?,"considering the structure of this keyboard, what area would be most stable for pressing ?",which part of this keyboard allows for the most efficient pressing ?,where to press this keyboard ?,what is the best way to press this keyboard ?,where on this keyboard can you press ?,is there another way to press this keyboard ?,which points on this keyboard are meant for pressing ?,which pressing point on this keyboard do you prefer ?,how would you press this keyboard to keep it steady ?,what part of this keyboard makes pressing possible ?,identify the key points on this keyboard that support pressing.,describe where you would press this keyboard and why that spot works.
Knife,cut,"if you were to cut with this knife, which points of this knife would you use for cutting ?",in which areas on this knife should a person cut to do it comfortably and safely ?,ideal cutting spot on knife ?,"considering the structure of this knife, what area would be most stable for cutting ?",which part of this knife allows for the most efficient cutting ?,where to cut with this knife ?,what is the best way to cut with this knife ?,where on this knife can you cut ?,is there another way to cut with this knife ?,which points on this knife are meant for cutting ?,which cutting point on this knife do you prefer ?,how would you cut with this knife to keep it steady ?,what part of this knife makes cutting possible ?,identify the key points on this knife that support cutting.,describe where you would cut with this knife and why that spot works.
Knife,grasp,"if you were to grasp this knife, which points of this knife would you use for grasping ?",in which areas on this knife should a person grasp to do it comfortably and safely ?,ideal grasping spot on knife ?,"considering the structure of this knife, what area would be most stable for grasping ?",which part of this knife allows for the most efficient grasping ?,where to grasp this knife ?,what is the best way to grasp this knife ?,where on this knife can you grasp ?,is there another way to grasp this knife ?,which points on this knife are meant for grasping ?,which grasping point on this knife do you prefer ?,how would you grasp this knife to keep it steady ?,what part of this knife makes grasping possible ?,identify the key points on this knife that support grasping.,describe where you would grasp this knife and why that spot works.
Knife,stab,"if you were to stab with this knife, which points of this knife would you use for stabbing ?",in which areas on this knife should a person stab to do it comfortably and safely ?,ideal stabbing spot on knife ?,"considering the structure of this knife, what area would be most stable for stabbing ?",which part of this knife allows for the most efficient stabbing ?,where to stab with this knife ?,what is the best way to stab with this knife ?,where on this knife can you stab ?,is there another way to stab with this knife ?,which points on this knife are meant for stabbing ?,which stabbing point on this knife do you prefer ?,how would you stab with this knife to keep it steady ?,what part of this knife makes stabbing possible ?,identify the key points on this knife that support stabbing.,describe where you would stab with this knife and why that spot works.
Laptop,display,"if you were to display this laptop, which points of this laptop would you use for displaying ?",in which areas on this laptop should a person display to do it comfortably and safely ?,ideal displaying spot on laptop ?,"considering the structure of this laptop, what area would be most stable for displaying ?",which part of this laptop allows for the most efficient displaying ?,where to display this laptop ?,what is the best way to display this laptop ?,where on this laptop can you display ?,is there another way to display this laptop ?,which points on this laptop are meant for displaying ?,which displaying point on this laptop do you prefer ?,how would you display this laptop to keep it steady ?,what part of this laptop makes displaying possible ?,identify the key points on this laptop that support displaying.,describe where you would display this laptop and why that spot works.
Laptop,press,"if you were to press this laptop, which points of this laptop would you use for pressing ?",in which areas on this laptop should a person press to do it comfortably and safely ?,ideal pressing spot on laptop ?,"considering the structure of this laptop, what area would be most stable for pressing ?",which part of this laptop allows for the most efficient pressing ?,where to press this laptop ?,what is the best way to press this laptop ?,where on this laptop can you press ?,is there another way to press this laptop ?,which points on this laptop are meant for pressing ?,which pressing point on this laptop do you prefer ?,how would you press this laptop to keep it steady ?,what part of this laptop makes pressing possible ?,identify the key points on this laptop that support pressing.,describe where you would press this laptop and why that spot works.
Microphone,speak,"if you were to speak into this microphone, which points of this microphone would you use for speaking ?",in which areas on this microphone should a person speak to do it comfortably and safely ?,ideal speaking spot on microphone ?,"considering the structure of this microphone, what area would be most stable for speaking ?",which part of this microphone allows for the most efficient speaking ?,where to speak into this microphone ?,what is the best way to speak into this microphone ?,where on this microphone can you speak ?,is there another way to speak into this microphone ?,which points on this microphone are meant for speaking ?,which speaking point on this microphone do you prefer ?,how would you speak into this microphone to keep it steady ?,what part of this microphone makes speaking possible ?,identify the key points on this microphone that support speaking.,describe where you would speak into this microphone and why that spot works.
Microphone,wrapgrasp,"if you were to grip this microphone, which points of this microphone would you use for gripping ?",in which areas on this microphone should a person grip to do it comfortably and safely ?,ideal gripping spot on microphone ?,"considering the structure of this microphone, what area would be most stable for gripping ?",which part of this microphone allows for the most efficient gripping ?,where to grip this microphone ?,what is the best way to grip this microphone ?,where on this microphone can you grip ?,is there another way to grip this microphone ?,which points on this microphone are meant for gripping ?,which gripping point on this microphone do you prefer ?,how would you grip this microphone to keep it steady ?,what part of this microphone makes gripping possible ?,identify the key points on this microphone that support gripping.,describe where you would grip this microphone and why that spot works.
Microwave,contain,"if you were to put things in this microwave, which points of this microwave would you use for containing ?",in which areas on this microwave should a person put things to do it comfortably and safely ?,ideal containing spot on microwave ?,"considering the structure of this microwave, what area would be most stable for containing ?",which part of this microwave allows for the most efficient containing ?,where to put things in this microwave ?,what is the best way to put things in this microwave ?,where on this microwave can you put things ?,is there another way to put things in this microwave ?,which points on this microwave are meant for containing ?,which containing point on this microwave do you prefer ?,how would you put things in this microwave to keep it steady ?,what part of this microwave makes containing possible ?,identify the key points on this microwave that support containing.,describe where you would put things in this microwave and why that spot works.
Microwave,open,"if you were to open this microwave, which points of this microwave would you use for opening ?",in which areas on this microwave should a person open to do it comfortably and safely ?,ideal opening spot on microwave ?,"considering the structure of this microwave, what area would be most stable for opening ?",which part of this microwave allows for the most efficient opening ?,where to open this microwave ?,what is the best way to open this microwave ?,where on this microwave can you open ?,is there another way to open this microwave ?,which points on this microwave are meant for opening ?,which opening point on this microwave do you prefer ?,how would you open this microwave to keep it steady ?,what part of this microwave makes opening possible ?,identify the key points on this microwave that support opening.,describe where you would open this microwave and why that spot works.
Mop,clean,"if you were to clean with this mop, which points of this mop would you use for cleaning ?",in which areas on this mop should a person clean to do it comfortably and safely ?,ideal cleaning spot on mop ?,"considering the structure of this mop, what area would be most stable for cleaning ?",which part of this mop allows for the most efficient cleaning ?,where to clean with this mop ?,what is the best way to clean with this mop ?,where on this mop can you clean ?,is there another way to clean with this mop ?,which points on this mop are meant for cleaning ?,which cleaning point on this mop do you prefer ?,how would you clean with this mop to keep it steady ?,what part of this mop makes cleaning possible ?,identify the key points on this mop that support cleaning.,describe where you would clean with this mop and why that spot works.
Mop,wrapgrasp,"if you were to grip this mop, which points of this mop would you use for gripping ?",in which areas on this mop should a person grip to do it comfortably and safely ?,ideal gripping spot on mop ?,"considering the structure of this mop, what area would be most stable for gripping ?",which part of this mop allows for the most efficient gripping ?,where to grip this mop ?,what is the best way to grip this mop ?,where on this mop can you grip ?,is there another way to grip this mop ?,which points on this mop are meant for gripping ?,which gripping point on this mop do you prefer ?,how would you grip this mop to keep it steady ?,what part of this mop makes gripping possible ?,identify the key points on this mop that support gripping.,describe where you would grip this mop and why that spot works.
Motorcycle,ride,"if you were to ride this motorcycle, which points of this motorcycle would you use for riding ?",in which areas on this motorcycle should a person ride to do it comfortably and safely ?,ideal riding spot on motorcycle ?,"considering the structure of this motorcycle, what area would be most stable for riding ?",which part of this motorcycle allows for the most efficient riding ?,where to ride this motorcycle ?,what is the best way to ride this motorcycle ?,where on this motorcycle can you ride ?,is there another way to ride this motorcycle ?,which points on this motorcycle are meant for riding ?,which riding point on this motorcycle do you prefer ?,how would you ride this motorcycle to keep it steady ?,what part of this motorcycle makes riding possible ?,identify the key points on this motorcycle that support riding.,describe where you would ride this motorcycle and why that spot works.
Mug,contain,"if you were to put things in this mug, which points of this mug would you use for containing ?",in which areas on this mug should a person put things to do it comfortably and safely ?,ideal containing spot on mug ?,"considering the structure of this mug, what area would be most stable for containing ?",which part of this mug allows for the most efficient containing ?,where to put things in this mug ?,what is the best way to put things in this mug ?,where on this mug can you put things ?,is there another way to put things in this mug ?,which points on this mug are meant for containing ?,which containing point on this mug do you prefer ?,how would you put things in this mug to keep it steady ?,what part of this mug makes containing possible ?,identify the key points on this mug that support containing.,describe where you would put things in this mug and why that spot works.
Mug,grasp,"if you were to grasp this mug, which points of this mug would you use for grasping ?",in which areas on this mug should a person grasp to do it comfortably and safely ?,ideal grasping spot on mug ?,"considering the structure of this mug, what area would be most stable for grasping ?",which part of this mug allows for the most efficient grasping ?,where to grasp this mug ?,what is the best way to grasp this mug ?,where on this mug can you grasp ?,is there another way to grasp this mug ?,which points on this mug are meant for grasping ?,which grasping point on this mug do you prefer ?,how would you grasp this mug to keep it steady ?,what part of this mug makes grasping possible ?,identify the key points on this mug that support grasping.,describe where you would grasp this mug and why that spot works.
Mug,pour,"if you were to pour from this mug, which points of this mug would you use for pouring ?",in which areas on this mug should a person pour to do it comfortably and safely ?,ideal pouring spot on mug ?,"considering the structure of this mug, what area would be most stable for pouring ?",which part of this mug allows for the most efficient pouring ?,where to pour from this mug ?,what is the best way to pour from this mug ?,where on this mug can you pour ?,is there another way to pour from this mug ?,which points on this mug are meant for pouring ?,which pouring point on this mug do you prefer ?,how would you pour from this mug to keep it steady ?,what part of this mug makes pouring possible ?,identify the key points on this mug that support pouring.,describe where you would pour from this mug and why that spot works.
Mug,wrapgrasp,"if you were to grip this mug, which points of this mug would you use for gripping ?",in which areas on this mug should a person grip to do it comfortably and safely ?,ideal gripping spot on mug ?,"considering the structure of this mug, what area would be most stable for gripping ?",which part of this mug allows for the most efficient gripping ?,where to grip this mug ?,what is the best way to grip this mug ?,where on this mug can you grip ?,is there another way to grip this mug ?,which points on this mug are meant for gripping ?,which gripping point on this mug do you prefer ?,how would you grip this mug to keep it steady ?,what part of this mug makes gripping possible ?,identify the key points on this mug that support gripping.,describe where you would grip this mug and why that spot works.
Refrigerator,contain,"if you were to put things in this refrigerator, which points of this refrigerator would you use for containing ?",in which areas on this refrigerator should a person put things to do it comfortably and safely ?,ideal containing spot on refrigerator ?,"considering the structure of this refrigerator, what area would be most stable for containing ?",which part of this refrigerator allows for the most efficient containing ?,where to put things in this refrigerator ?,what is the best way to put things in this refrigerator ?,where on this refrigerator can you put things ?,is there another way to put things in this refrigerator ?,which points on this refrigerator are meant for containing ?,which containing point on this refrigerator do you prefer ?,how would you put things in this refrigerator to keep it steady ?,what part of this refrigerator makes containing possible ?,identify the key points on this refrigerator that support containing.,describe where you would put things in this refrigerator and why that spot works.
Refrigerator,open,"if you were to open this refrigerator, which points of this refrigerator would you use for opening ?",in which areas on this refrigerator should a person open to do it comfortably and safely ?,ideal opening spot on refrigerator ?,"considering the structure of this refrigerator, what area would be most stable for opening ?",which part of this refrigerator allows for the most efficient opening ?,where to open this refrigerator ?,what is the best way to open this refrigerator ?,where on this refrigerator can you open ?,is there another way to open this refrigerator ?,which points on this refrigerator are meant for opening ?,which opening point on this refrigerator do you prefer ?,how would you open this refrigerator to keep it steady ?,what part of this refrigerator makes opening possible ?,identify the key points on this refrigerator that support opening.,describe where you would open this refrigerator and why that spot works.
Scissors,cut,"if you were to cut with these scissors, which points of these scissors would you use for cutting ?",in which areas on these scissors should a person cut to do it comfortably and safely ?,ideal cutting spot on scissors ?,"considering the structure of these scissors, what area would be most stable for cutting ?",which part of these scissors allows for the most efficient cutting ?,where to cut with these scissors ?,what is the best way to cut with these scissors ?,where on these scissors can you cut ?,is there another way to cut with these scissors ?,which points on these scissors are meant for cutting ?,which cutting point on these scissors do you prefer ?,how would you cut with these scissors to keep it steady ?,what part of these scissors makes cutting possible ?,identify the key points on these scissors that support cutting.,describe where you would cut with these scissors and why that spot works.
Scissors,grasp,"if you were to grasp these scissors, which points of these scissors would you use for grasping ?",in which areas on these scissors should a person grasp to do it comfortably and safely ?,ideal grasping spot on scissors ?,"considering the structure of these scissors, what area would be most stable for grasping ?",which part of these scissors allows for the most efficient grasping ?,where to grasp these scissors ?,what is the best way to grasp these scissors ?,where on these scissors can you grasp ?,is there another way to grasp these scissors ?,which points on these scissors are meant for grasping ?,which grasping point on these scissors do you prefer ?,how would you grasp these scissors to keep it steady ?,what part of these scissors makes grasping possible ?,identify the key points on these scissors that support grasping.,describe where you would grasp these scissors and why that spot works.
Scissors,stab,"if you were to stab with these scissors, which points of these scissors would you use for stabbing ?",in which areas on these scissors should a person stab to do it comfortably and safely ?,ideal stabbing spot on scissors ?,"considering the structure of these scissors, what area would be most stable for stabbing ?",which part of these scissors allows for the most efficient stabbing ?,where to stab with these scissors ?,what is the best way to stab with these scissors ?,where on these scissors can you stab ?,is there another way to stab with these scissors ?,which points on these scissors are meant for stabbing ?,which stabbing point on these scissors do you prefer ?,how would you stab with these scissors to keep it steady ?,what part of these scissors makes stabbing possible ?,identify the key points on these scissors that support stabbing.,describe where you would stab with these scissors and why that spot works.
Skateboard,support,"if you were to place something on this skateboard, which points of this skateboard would you use for supporting ?",in which areas on this skateboard should a person place something to do it comfortably and safely ?,ideal supporting spot on skateboard ?,"considering the structure of this skateboard, what area would be most stable for supporting ?",which part of this skateboard allows for the most efficient supporting ?,where to place something on this skateboard ?,what is the best way to place something on this skateboard ?,where on this skateboard can you place something ?,is there another way to place something on this skateboard ?,which points on this skateboard are meant for supporting ?,which supporting point on this skateboard do you prefer ?,how would you place something on this skateboard to keep it steady ?,what part of this skateboard makes supporting possible ?,identify the key points on this skateboard that support supporting.,describe where you would place something on this skateboard and why that spot works.
Spoon,contain,"if you were to put things in this spoon, which points of this spoon would you use for containing ?",in which areas on this spoon should a person put things to do it comfortably and safely ?,ideal containing spot on spoon ?,"considering the structure of this spoon, what area would be most stable for containing ?",which part of this spoon allows for the most efficient containing ?,where to put things in this spoon ?,what is the best way to put things in this spoon ?,where on this spoon can you put things ?,is there another way to put things in this spoon ?,which points on this spoon are meant for containing ?,which containing point on this spoon do you prefer ?,how would you put things in this spoon to keep it steady ?,what part of this spoon makes containing possible ?,identify the key points on this spoon that support containing.,describe where you would put things in this spoon and why that spot works.
Spoon,wrapgrasp,"if you were to grip this spoon, which points of this spoon would you use for gripping ?",in which areas on this spoon should a person grip to do it comfortably and safely ?,ideal gripping spot on spoon ?,"considering the structure of this spoon, what area would be most stable for gripping ?",which part of this spoon allows for the most efficient gripping ?,where to grip this spoon ?,what is the best way to grip this spoon ?,where on this spoon can you grip ?,is there another way to grip this spoon ?,which points on this spoon are meant for gripping ?,which gripping point on this spoon do you prefer ?,how would you grip this spoon to keep it steady ?,what part of this spoon makes gripping possible ?,identify the key points on this spoon that support gripping.,describe where you would grip this spoon and why that spot works.
StorageFurniture,contain,"if you were to put things in this storage furniture, which points of this storage furniture would you use for containing ?",in which areas on this storage furniture should a person put things to do it comfortably and safely ?,ideal containing spot on storage furniture ?,"considering the structure of this storage furniture, what area would be most stable for containing ?",which part of this storage furniture allows for the most efficient containing ?,where to put things in this storage furniture ?,what is the best way to put things in this storage furniture ?,where on this storage furniture can you put things ?,is there another way to put things in this storage furniture ?,which points on this storage furniture are meant for containing ?,which containing point on this storage furniture do you prefer ?,how would you put things in this storage furniture to keep it steady ?,what part of this storage furniture makes containing possible ?,identify the key points on this storage furniture that support containing.,describe where you would put things in this storage furniture and why that spot works.
StorageFurniture,open,"if you were to open this storage furniture, which points of this storage furniture would you use for opening ?",in which areas on this storage furniture should a person open to do it comfortably and safely ?,ideal opening spot on storage furniture ?,"considering the structure of this storage furniture, what area would be most stable for opening ?",which part of this storage furniture allows for the most efficient opening ?,where to open this storage furniture ?,what is the best way to open this storage furniture ?,where on this storage furniture can you open ?,is there another way to open this storage furniture ?,which points on this storage furniture are meant for opening ?,which opening point on this storage furniture do you prefer ?,how would you open this storage furniture to keep it steady ?,what part of this storage furniture makes opening possible ?,identify the key points on this storage furniture that support opening.,describe where you would open this storage furniture and why that spot works.
Suitcase,pull,"if you were to pull this suitcase, which points of this suitcase would you use for pulling ?",in which areas on this suitcase should a person pull to do it comfortably and safely ?,ideal pulling spot on suitcase ?,"considering the structure of this suitcase, what area would be most stable for pulling ?",which part of this suitcase allows for the most efficient pulling ?,where to pull this suitcase ?,what is the best way to pull this suitcase ?,where on this suitcase can you pull ?,is there another way to pull this suitcase ?,which points on this suitcase are meant for pulling ?,which pulling point on this suitcase do you prefer ?,how would you pull this suitcase to keep it steady ?,what part of this suitcase makes pulling possible ?,identify the key points on this suitcase that support pulling.,describe where you would pull this suitcase and why that spot works.
Surfboard,carry,"if you were to carry this surfboard, which points of this surfboard would you use for carrying ?",in which areas on this surfboard should a person carry to do it comfortably and safely ?,ideal carrying spot on surfboard ?,"considering the structure of this surfboard, what area would be most stable for carrying ?",which part of this surfboard allows for the most efficient carrying ?,where to carry this surfboard ?,what is the best way to carry this surfboard ?,where on this surfboard can you carry ?,is there another way to carry this surfboard ?,which points on this surfboard are meant for carrying ?,which carrying point on this surfboard do you prefer ?,how would you carry this surfboard to keep it steady ?,what part of this surfboard makes carrying possible ?,identify the key points on this surfboard that support carrying.,describe where you would carry this surfboard and why that spot works.
Surfboard,support,"if you were to place something on this surfboard, which points of this surfboard would you use for supporting ?",in which areas on this surfboard should a person place something to do it comfortably and safely ?,ideal supporting spot on surfboard ?,"considering the structure of this surfboard, what area would be most stable for supporting ?",which part of this surfboard allows for the most efficient supporting ?,where to place something on this surfboard ?,what is the best way to place something on this surfboard ?,where on this surfboard can you place something ?,is there another way to place something on this surfboard ?,which points on this surfboard are meant for supporting ?,which supporting point on this surfboard do you prefer ?,how would you place something on this surfboard to keep it steady ?,what part of this surfboard makes supporting possible ?,identify the key points on this surfboard that support supporting.,describe where you would place something on this surfboard and why that spot works.
Table,move,"if you were to move this table, which points of this table would you use for moving ?",in which areas on this table should a person move to do it comfortably and safely ?,ideal moving spot on table ?,"considering the structure of this table, what area would be most stable for moving ?",which part of this table allows for the most efficient moving ?,where to move this table ?,what is the best way to move this table ?,where on this table can you move ?,is there another way to move this table ?,which points on this table are meant for moving ?,which moving point on this table do you prefer ?,how would you move this table to keep it steady ?,what part of this table makes moving possible ?,identify the key points on this table that support moving.,describe where you would move this table and why that spot works.
Table,support,"if you were to place something on this table, which points of this table would you use for supporting ?",in which areas on this table should a person place something to do it comfortably and safely ?,ideal supporting spot on table ?,"considering the structure of this table, what area would be most stable for supporting ?",which part of this table allows for the most efficient supporting ?,where to place something on this table ?,what is the best way to place something on this table ?,where on this table can you place something ?,is there another way to place something on this table ?,which points on this table are meant for supporting ?,which supporting point on this table do you prefer ?,how would you place something on this table to keep it steady ?,what part of this table makes supporting possible ?,identify the key points on this table that support supporting.,describe where you would place something on this table and why that spot works.
Tennisracket,wrapgrasp,"if you were to grip this tennis racket, which points of this tennis racket would you use for gripping ?",in which areas on this tennis racket should a person grip to do it comfortably and safely ?,ideal gripping spot on tennis racket ?,"considering the structure of this tennis racket, what area would be most stable for gripping ?",which part of this tennis racket allows for the most efficient gripping ?,where to grip this tennis racket ?,what is the best way to grip this tennis racket ?,where on this tennis racket can you grip ?,is there another way to grip this tennis racket ?,which points on this tennis racket are meant for gripping ?,which gripping point on this tennis racket do you prefer ?,how would you grip this tennis racket to keep it steady ?,what part of this tennis racket makes gripping possible ?,identify the key points on this tennis racket that support gripping.,describe where you would grip this tennis racket and why that spot works.
Toothbrush,clean,"if you were to clean with this toothbrush, which points of this toothbrush would you use for cleaning ?",in which areas on this toothbrush should a person clean to do it comfortably and safely ?,ideal cleaning spot on toothbrush ?,"considering the structure of this toothbrush, what area would be most stable for cleaning ?",which part of this toothbrush allows for the most efficient cleaning ?,where to clean with this toothbrush ?,what is the best way to clean with this toothbrush ?,where on this toothbrush can you clean ?,is there another way to clean with this toothbrush ?,which points on this toothbrush are meant for cleaning ?,which cleaning point on this toothbrush do you prefer ?,how would you clean with this toothbrush to keep it steady ?,what part of this toothbrush makes cleaning possible ?,identify the key points on this toothbrush that support cleaning.,describe where you would clean with this toothbrush and why that spot works.
Toothbrush,wrapgrasp,"if you were to grip this toothbrush, which points of this toothbrush would you use for gripping ?",in which areas on this toothbrush should a person grip to do it comfortably and safely ?,ideal gripping spot on toothbrush ?,"considering the structure of this toothbrush, what area would be most stable for gripping ?",which part of this toothbrush allows for the most efficient gripping ?,where to grip this toothbrush ?,what is the best way to grip this toothbrush ?,where on this toothbrush can you grip ?,is there another way to grip this toothbrush ?,which points on this toothbrush are meant for gripping ?,which gripping point on this toothbrush do you prefer ?,how would you grip this toothbrush to keep it steady ?,what part of this toothbrush makes gripping possible ?,identify the key points on this toothbrush that support gripping.,describe where you would grip this toothbrush and why that spot works.
TrashCan,contain,"if you were to put things in this trash can, which points of this trash can would you use for containing ?",in which areas on this trash can should a person put things to do it comfortably and safely ?,ideal containing spot on trash can ?,"considering the structure of this trash can, what area would be most stable for containing ?",which part of this trash can allows for the most efficient containing ?,where to put things in this trash can ?,what is the best way to put things in this trash can ?,where on this trash can can you put things ?,is there another way to put things in this trash can ?,which points on this trash can are meant for containing ?,which containing point on this trash can do you prefer ?,how would you put things in this trash can to keep it steady ?,what part of this trash can makes containing possible ?,identify the key points on this trash can that support containing.,describe where you would put things in this trash can and why that spot works.
TrashCan,open,"if you were to open this trash can, which points of this trash can would you use for opening ?",in which areas on this trash can should a person open to do it comfortably and safely ?,ideal opening spot on trash can ?,"considering the structure of this trash can, what area would be most stable for opening ?",which part of this trash can allows for the most efficient opening ?,where to open this trash can ?,what is the best way to open this trash can ?,where on this trash can can you open ?,is there another way to open this trash can ?,which points on this trash can are meant for opening ?,which opening point on this trash can do you prefer ?,how would you open this trash can to keep it steady ?,what part of this trash can makes opening possible ?,identify the key points on this trash can that support opening.,describe where you would open this trash can and why that spot works.
TrashCan,pour,"if you were to pour from this trash can, which points of this trash can would you use for pouring ?",in which areas on this trash can should a person pour to do it comfortably and safely ?,ideal pouring spot on trash can ?,"considering the structure of this trash can, what area would be most stable for pouring ?",which part of this trash can allows for the most efficient pouring ?,where to pour from this trash can ?,what is the best way to pour from this trash can ?,where on this trash can can you pour ?,is there another way to pour from this trash can ?,which points on this trash can are meant for pouring ?,which pouring point on this trash can do you prefer ?,how would you pour from this trash can to keep it steady ?,what part of this trash can makes pouring possible ?,identify the key points on this trash can that support pouring.,describe where you would pour from this trash can and why that spot works.
Umbrella,wrapgrasp,"if you were to grip this umbrella, which points of this umbrella would you use for gripping ?",in which areas on this umbrella should a person grip to do it comfortably and safely ?,ideal gripping spot on umbrella ?,"considering the structure of this umbrella, what area would be most stable for gripping ?",which part of this umbrella allows for the most efficient gripping ?,where to grip this umbrella ?,what is the best way to grip this umbrella ?,where on this umbrella can you grip ?,is there another way to grip this umbrella ?,which points on this umbrella are meant for gripping ?,which gripping point on this umbrella do you prefer ?,how would you grip this umbrella to keep it steady ?,what part of this umbrella makes gripping possible ?,identify the key points on this umbrella that support gripping.,describe where you would grip this umbrella and why that spot works.
Vase,contain,"if you were to put things in this vase, which points of this vase would you use for containing ?",in which areas on this vase should a person put things to do it comfortably and safely ?,ideal containing spot on vase ?,"considering the structure of this vase, what area would be most stable for containing ?",which part of this vase allows for the most efficient containing ?,where to put things in this vase ?,what is the best way to put things in this vase ?,where on this vase can you put things ?,is there another way to put things in this vase ?,which points on this vase are meant for containing ?,which containing point on this vase do you prefer ?,how would you put things in this vase to keep it steady ?,what part of this vase makes containing possible ?,identify the key points on this vase that support containing.,describe where you would put things in this vase and why that spot works.
Vase,wrapgrasp,"if you were to grip this vase, which points of this vase would you use for gripping ?",in which areas on this vase should a person grip to do it comfortably and safely ?,ideal gripping spot on vase ?,"considering the structure of this vase, what area would be most stable for gripping ?",which part of this vase allows for the most efficient gripping ?,where to grip this vase ?,what is the best way to grip this vase ?,where on this vase can you grip ?,is there another way to grip this vase ?,which points on this vase are meant for gripping ?,which gripping point on this vase do you prefer ?,how would you grip this vase to keep it steady ?,what part of this vase makes gripping possible ?,identify the key points on this vase that support gripping.,describe where you would grip this vase and why that spot works.
